SPD,            2,2,2,2,0,2,1,2,1,2,2,0,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,0,2
CDU,            2,2,2,2,2,1,2,1,1,2,2,1,2,0,1,0,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2
DIE LINKE,      1,2,2,2,1,2,1,0,2,1,1,2,2,2,2,1,2,1,2,2,1,2,0,2,1,1,2,0,1,2,1,2,2,1,2,1,2,0
AfD,            2,1,1,1,2,1,2,0,1,2,2,2,2,0,1,1,0,1,1,2,2,0,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2
GRÜNE,          0,2,2,2,1,2,1,1,0,1,1,0,2,2,2,1,1,1,2,1,1,2,1,2,1,0,2,1,0,2,1,2,0,1,2,1,2,2
Freie Wähler,   2,2,1,2,2,1,1,0,2,1,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,0,2,1,1,1,2,1,2
Piraten,        1,2,2,2,1,0,1,1,2,1,1,0,2,1,0,1,2,1,2,0,1,2,1,2,2,1,2,0,2,0,1,2,0,1,0,2,2,2
FDP,            2,1,1,2,2,0,1,2,1,2,1,1,2,1,1,2,1,2,2,0,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2
ödp,            1,2,2,2,1,2,1,1,2,1,2,0,2,2,0,1,1,1,2,1,0,0,1,2,1,2,2,1,1,2,1,2,1,2,2,0,2,1
Tierschutzp.,   1,0,2,2,1,2,1,1,2,1,1,0,1,2,2,1,0,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,0,2,2,2,1
V-Partei³,      1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,1,2,1
